time (ソース1),
0,46
0,46
0.004,47
0.062,46
0.062,46
0.118,47
0.172,46
0.172,47
0.231,46
0.231,47
0.287,46
0.287,46
0.343,46
0.343,46
0.397,46
0.397,47
0.451,46
0.506,47
0.506,46
0.562,46
0.562,47
0.616,46
0.616,47
0.671,47
0.671,46
0.728,47
0.73,46
0.785,47
0.842,47
0.842,46
0.898,47
0.898,47
0.953,47
0.953,47
1.01,47
1.01,48
1.065,48
1.065,48
1.12,48
1.12,47
1.176,48
1.23,47
1.23,47
1.285,48
1.285,47
1.34,48
1.34,47
1.396,47
1.396,47
1.452,47
1.506,47
1.506,47
1.562,47
1.562,47
1.618,47
1.618,47
1.673,47
1.673,47
1.73,47
1.784,47
1.784,47
1.84,47
1.84,47
1.897,47
1.897,47
1.951,47
1.951,47
2.006,47
2.006,47
2.062,47
2.116,47
2.116,47
2.171,47
2.171,47
2.225,47
2.225,47
2.281,47
2.281,46
2.338,47
2.34,47
2.397,46
2.454,47
2.454,46
2.512,47
2.512,47
2.571,47
2.571,47
2.627,47
2.627,47
2.687,47
2.687,47
2.743,47
2.743,47
2.799,46
2.799,47
2.856,46
2.857,47
2.912,47
2.971,47
2.971,47
3.027,47
3.027,47
3.085,46
3.085,46
3.139,47
3.139,47
3.194,47
3.194,47
3.25,47
3.255,47
3.308,47
3.31,47
3.368,47
3.423,46
3.423,47
3.478,46
3.478,47
3.539,47
3.539,47
3.594,47
3.594,47
3.649,47
3.649,47
3.704,47
3.704,48
3.76,47
3.817,47
3.817,47
3.874,47
3.874,47
3.931,47
3.931,47
3.989,47
3.989,47
4.045,47
4.045,47
4.105,46
4.108,47
4.163,47
4.165,47
4.222,47
4.278,46
4.278,47
4.336,46
4.336,46
4.393,47
4.393,46
4.448,47
4.448,46
4.505,47
4.505,47
4.56,46
4.56,46
4.616,46
4.616,47
4.674,47
4.676,46
4.732,47
4.786,47
4.786,46
4.84,47
4.84,46
4.898,47
4.898,47
4.959,47
4.959,47
5.014,46
5.014,47
5.071,47
5.073,47
5.127,47
5.185,46
5.185,46
5.242,46
5.242,46
5.298,47
5.298,47
5.358,47
5.358,47
5.413,47
5.413,47
5.471,47
5.473,47
5.529,47
5.532,47
5.587,47
5.641,47
5.641,47
5.696,47
5.696,47
5.753,47
5.753,47
5.809,47
5.809,47
5.864,47
5.864,47
5.92,47
5.976,47
5.976,48
6.032,47
6.032,47
6.089,48
6.089,47
6.144,47
6.144,47
6.198,47
6.198,48
6.259,47
6.259,47
6.316,47
6.375,46
6.375,47
6.431,47
6.431,47
6.488,47
6.488,47
6.542,47
6.542,47
6.597,47
6.597,47
6.652,46
6.71,47
6.71,47
6.766,47
6.766,47
6.824,47
6.824,47
6.881,47
6.881,47
6.941,47
6.941,46
6.996,47
6.996,46
7.052,46
7.052,47
7.109,46
7.112,47
7.168,47
7.175,47
7.229,47
7.231,47
7.285,48
7.343,48
7.343,48
7.399,48
7.399,48
7.456,49
7.456,50
7.511,49
7.511,50
7.569,49
7.569,46
7.629,46
7.632,45
7.69,46
7.693,48
7.747,48
7.802,49
7.802,49
7.859,50
7.859,50
7.914,50
7.914,50
7.97,49
7.97,50
8.028,49
8.028,49
8.086,50
8.086,49
8.145,50
8.145,50
8.202,50
8.202,50
8.259,50
8.313,48
8.313,48
8.37,48
8.37,49
8.426,48
8.426,48
8.481,49
8.481,48
8.537,49
8.537,48
8.596,49
8.598,49
8.654,49
8.712,50
8.712,50
8.768,49
8.768,49
8.826,49
8.826,49
8.88,49
8.88,49
8.935,50
8.935,49
8.994,49
8.998,50
9.053,49
9.055,49
9.115,49
9.115,49
9.17,49
9.226,48
9.226,49
9.282,49
9.282,49
9.337,50
9.337,49
9.393,50
9.393,49
9.449,49
9.452,49
9.509,48
9.511,49
9.567,49
9.571,49
9.626,49
9.683,48
9.683,49
9.74,49
9.74,49
9.795,49
9.795,50
9.852,51
9.852,50
9.911,50
9.911,50
9.967,49
9.967,48
10.027,48
10.081,48
10.081,48
10.135,47
10.135,47
10.193,47
10.193,46
10.247,46
10.247,44
10.302,41
10.302,36
10.361,31
10.361,27
10.416,17
10.471,16
10.471,15
10.531,14
10.531,14
10.586,14
10.586,14
10.644,13
10.644,13
10.699,13
10.699,13
10.756,13
10.756,12
10.815,11
10.818,10
10.872,10
10.931,9
10.931,9
10.938,9
10.995,9
10.995,9
11.051,9
11.106,9
11.106,8
11.164,8
11.164,8
11.219,8
11.219,8
11.278,8
11.278,8
11.336,8
11.336,8
11.394,7
11.396,7
11.451,6
11.506,7
11.506,7
11.565,6
11.565,6
11.633,5
11.633,7
11.66,7
11.72,5
11.72,5
11.778,5
11.778,6
11.834,6
11.834,6
11.894,6
11.894,6
11.95,7
11.95,6
12.005,6
12.005,6
12.06,6
12.062,7
12.118,6
12.121,6
12.178,6
12.232,6
12.232,6
12.288,12
12.288,11
12.344,8
12.344,0
12.4,0
12.4,0
12.454,0
12.454,0
12.511,0
12.511,0
12.568,13
12.623,11
12.623,19
12.682,20
12.682,5
12.741,6
12.741,6
12.797,6
12.797,6
12.856,6
12.856,6
12.917,6
12.917,6
12.972,6
12.972,6
13.028,5
13.089,5
13.089,5
13.144,5
13.144,5
13.203,5
13.203,5
13.258,5
13.258,5
13.315,5
13.315,5
13.373,5
13.373,5
13.428,5
13.428,5
13.485,5
13.487,5
13.542,4
13.603,4
13.603,4
13.606,4
13.66,4
13.716,4
13.716,4
13.775,4
13.775,4
13.832,3
13.832,3
13.891,4
13.891,4
13.949,4
13.949,3
14.006,3
14.006,3
14.061,3
14.061,3
14.117,3
14.172,3
14.172,3
14.228,3
14.228,3
14.285,3
14.285,2
14.34,2
14.34,2
14.402,2
14.402,2
14.456,2
14.456,1
14.513,1
14.571,2
14.571,2
14.627,1
14.627,1
14.688,1
14.688,1
14.744,1
14.744,1
14.806,1
14.806,1
14.861,1
14.861,1
14.915,0
14.915,0
14.971,1
15.026,1
15.026,0
15.083,0
15.083,0
15.142,0
15.142,0
15.203,0
15.203,0
15.26,0
15.26,0
15.317,0
15.317,0
15.371,0
15.371,0
15.425,0
15.482,0
15.482,0
15.539,0
15.539,0
15.597,0
15.597,0
15.653,0
15.653,0
15.707,0
15.707,0
15.764,0
15.772,0
15.826,0
15.826,0
15.881,0
15.941,0
15.941,0
15.995,0
15.995,0
16.052,0
16.052,0
16.109,0
16.109,0
16.167,0
16.167,0
16.228,0
16.228,0
16.287,0
16.287,0
16.344,0
16.344,0
16.398,0
16.4,0
16.457,0
16.511,0
16.511,0
16.571,0
16.571,0
16.626,0
16.626,0
16.682,0
16.682,0
16.74,0
16.74,0
16.798,0
16.798,0
16.853,0
16.855,0
16.908,0
16.963,0
16.963,0
17.019,0
17.019,0
17.075,0
17.075,0
17.13,0
17.13,0
17.185,0
17.185,0
17.24,0
17.294,0
17.294,0
17.349,0
17.349,0
17.405,0
17.405,0
17.46,0
17.461,0
17.516,0
17.524,0
17.579,0
17.582,0
17.64,0
17.643,0
17.698,0
17.7,0
17.756,0
17.811,0
17.811,0
17.867,0
17.867,0
17.922,0
17.922,0
17.977,0
17.977,0
18.033,0
18.036,0
18.093,0
18.097,0
18.152,0
18.211,0
18.211,0
18.268,0
18.268,0
18.325,0
18.325,0
18.38,0
18.38,0
18.44,0
18.44,0
18.496,0
18.496,0
18.552,0
18.552,0
18.608,0
18.608,0
18.664,0
18.718,0
18.718,0
18.775,0
18.775,0
18.83,0
18.83,0
18.886,0
18.886,0
18.942,0
18.998,0
18.998,0
19.053,0
19.053,0
19.109,0
19.109,0
19.165,0
19.165,0
19.221,0
19.221,0
19.276,0
19.33,0
19.33,0
19.385,0
19.385,0
19.444,0
19.444,0
19.501,0
19.501,0
19.556,0
19.556,0
19.611,0
19.668,0
19.668,0
19.723,0
19.723,0
19.779,0
19.779,0
19.835,0
19.835,0
19.891,0
19.891,0
19.945,0
19.945,0
20.002,0
20.057,0
20.057,0
20.112,0
20.112,0
20.168,0
20.168,0
20.225,0
20.225,0
20.28,0
20.28,0
20.341,0
20.343,0
20.399,0
20.401,0
20.458,0
20.461,0
20.514,0
20.569,0
20.569,0
20.625,0
20.625,0
20.679,0
20.679,0
20.736,0
20.736,0
20.795,0
20.795,0
20.851,0
20.908,0
20.908,0
20.963,0
20.963,0
21.018,0
21.077,0
21.077,0
21.132,0
21.132,0
21.186,0
21.186,0
21.244,0
21.244,0
21.299,0
21.299,0
21.356,0
21.356,0
21.412,0
21.467,0
21.467,0
21.523,0
21.523,0
21.579,0
21.579,0
21.635,0
21.635,0
21.692,0
21.692,0
21.747,0
21.802,0
21.802,0
21.858,0
21.858,0
21.914,0
21.914,0
21.969,0
21.969,0
22.024,0
22.024,0
22.08,0
22.08,0
22.135,0
22.191,0
22.191,0
22.245,0
22.245,0
22.301,0
22.301,0
22.358,0
22.412,0
22.412,0
22.466,0
22.466,0
22.521,0
22.521,0
22.576,0
22.576,0
22.631,0
22.631,0
22.691,0
22.691,0
22.747,0
22.759,0
22.813,0
22.813,0
22.87,0
22.87,0
22.924,0
22.978,0
22.978,0
23.035,0
23.035,0
23.09,0
23.09,0
23.145,0
23.145,0
23.202,0
23.256,0
23.256,0
23.313,0
23.313,0
23.369,0
23.369,7
23.424,6
23.424,0
23.48,0
23.48,0
23.538,0
23.538,0
23.595,0
23.597,0
23.655,0
23.658,0
23.713,0
23.717,0
23.772,3
23.825,3
23.825,3
23.883,6
23.883,9
23.938,10
23.938,11
23.992,15
23.992,20
24.051,24
24.053,27
24.107,28
24.166,29
24.166,30
24.225,30
24.225,30
24.283,31
24.283,31
24.343,31
24.343,31
24.397,31
24.397,31
24.454,32
24.454,32
24.51,33
24.513,33
24.57,36
24.572,36
24.627,37
24.63,38
24.69,38
24.69,39
24.746,40
24.803,41
24.803,42
24.859,43
24.859,45
24.916,46
24.916,48
24.974,49
24.974,52
25.03,54
25.03,56
25.09,58
25.09,59
25.145,61
25.145,61
25.206,62
25.209,63
25.263,64
25.266,67
25.323,67
25.326,68
25.383,71
25.443,71
25.443,73
25.499,74
25.499,74
25.559,76
25.559,78
25.613,79
25.613,80
25.67,81
25.67,83
25.725,87
25.779,89
25.779,91
25.84,94
25.84,95
25.895,96
25.895,99
25.954,100
25.954,103
26.01,103
26.01,104
26.068,106
26.068,107
26.126,110
26.126,111
26.182,112
26.182,114
26.243,115
26.243,117
26.298,118
26.304,119
26.363,120
26.367,122
26.425,122
26.427,123
26.482,124
26.538,125
26.538,126
26.594,127
